driver,race,race_1,race_2,race_3,race_4,last_year_tot,last_year_avg,last_year_std,same_race_last_year,score,year
 Kimi Räikkönen,BRA,18.0,15.0,13.0,0.0,3.0,0.13043478260869565,0.6255432421712238,,15,2017
 Kimi Räikkönen,ABU,15.0,18.0,15.0,13.0,3.0,0.13043478260869565,0.6255432421712238,0.0,12,2017
 Daniel Ricciardo,AUS,,,,,6.0,0.2608695652173913,1.2510864843424476,0.0,0,2017
 Daniel Ricciardo,CHN,0.0,,,,6.0,0.2608695652173913,1.2510864843424476,,12,2017
 Daniel Ricciardo,BHR,12.0,0.0,,,6.0,0.2608695652173913,1.2510864843424476,6.0,13,2017
 Daniel Ricciardo,RUS,13.0,12.0,0.0,,6.0,0.2608695652173913,1.2510864843424476,0.0,0,2017
 Daniel Ricciardo,ESP,0.0,13.0,12.0,0.0,6.0,0.2608695652173913,1.2510864843424476,0.0,18,2017
 Daniel Ricciardo,MON,18.0,0.0,13.0,12.0,6.0,0.2608695652173913,1.2510864843424476,0.0,18,2017
 Daniel Ricciardo,CAN,18.0,18.0,0.0,13.0,6.0,0.2608695652173913,1.2510864843424476,0.0,18,2017
 Daniel Ricciardo,AZE,18.0,18.0,18.0,0.0,6.0,0.2608695652173913,1.2510864843424476,0.0,28,2017
 Daniel Ricciardo,AUT,28.0,18.0,18.0,18.0,6.0,0.2608695652173913,1.2510864843424476,0.0,18,2017
 Daniel Ricciardo,GBR,18.0,28.0,18.0,18.0,6.0,0.2608695652173913,1.2510864843424476,0.0,10,2017
 Daniel Ricciardo,HUN,10.0,18.0,28.0,18.0,6.0,0.2608695652173913,1.2510864843424476,0.0,0,2017
 Daniel Ricciardo,BEL,0.0,10.0,18.0,28.0,6.0,0.2608695652173913,1.2510864843424476,0.0,18,2017
 Daniel Ricciardo,ITA,18.0,0.0,10.0,18.0,6.0,0.2608695652173913,1.2510864843424476,0.0,15,2017
 Daniel Ricciardo,SIN,15.0,18.0,0.0,10.0,6.0,0.2608695652173913,1.2510864843424476,0.0,21,2017
 Daniel Ricciardo,MAL,21.0,15.0,18.0,0.0,6.0,0.2608695652173913,1.2510864843424476,,15,2017
 Daniel Ricciardo,JPN,15.0,21.0,15.0,18.0,6.0,0.2608695652173913,1.2510864843424476,0.0,15,2017
 Daniel Ricciardo,USA,15.0,15.0,21.0,15.0,6.0,0.2608695652173913,1.2510864843424476,0.0,0,2017
 Daniel Ricciardo,MEX,0.0,15.0,15.0,21.0,6.0,0.2608695652173913,1.2510864843424476,,0,2017
 Daniel Ricciardo,BRA,0.0,0.0,15.0,15.0,6.0,0.2608695652173913,1.2510864843424476,,8,2017
 Daniel Ricciardo,ABU,8.0,0.0,0.0,15.0,6.0,0.2608695652173913,1.2510864843424476,0.0,0,2017
 Max Verstappen,AUS,,,,,31.0,1.3478260869565217,6.4639468357693195,0.0,13,2017
 Max Verstappen,CHN,13.0,,,,31.0,1.3478260869565217,6.4639468357693195,,18,2017
 Max Verstappen,BHR,18.0,13.0,,,31.0,1.3478260869565217,6.4639468357693195,31.0,0,2017
 Max Verstappen,RUS,0.0,18.0,13.0,,31.0,1.3478260869565217,6.4639468357693195,0.0,13,2017
 Max Verstappen,ESP,13.0,0.0,18.0,13.0,31.0,1.3478260869565217,6.4639468357693195,0.0,0,2017
 Max Verstappen,MON,0.0,13.0,0.0,18.0,31.0,1.3478260869565217,6.4639468357693195,0.0,10,2017
 Max Verstappen,CAN,10.0,0.0,13.0,0.0,31.0,1.3478260869565217,6.4639468357693195,0.0,0,2017
 Max Verstappen,AZE,0.0,10.0,0.0,13.0,31.0,1.3478260869565217,6.4639468357693195,0.0,0,2017
 Max Verstappen,AUT,0.0,0.0,10.0,0.0,31.0,1.3478260869565217,6.4639468357693195,0.0,0,2017
 Max Verstappen,GBR,0.0,0.0,0.0,10.0,31.0,1.3478260869565217,6.4639468357693195,0.0,15,2017
 Max Verstappen,HUN,15.0,0.0,0.0,0.0,31.0,1.3478260869565217,6.4639468357693195,0.0,13,2017
 Max Verstappen,BEL,13.0,15.0,0.0,0.0,31.0,1.3478260869565217,6.4639468357693195,0.0,0,2017
 Max Verstappen,ITA,0.0,13.0,15.0,0.0,31.0,1.3478260869565217,6.4639468357693195,0.0,1,2017
 Max Verstappen,SIN,1.0,0.0,13.0,15.0,31.0,1.3478260869565217,6.4639468357693195,0.0,0,2017
 Max Verstappen,MAL,0.0,1.0,0.0,13.0,31.0,1.3478260869565217,6.4639468357693195,,28,2017
 Max Verstappen,JPN,28.0,0.0,1.0,0.0,31.0,1.3478260869565217,6.4639468357693195,0.0,21,2017
 Max Verstappen,USA,21.0,28.0,0.0,1.0,31.0,1.3478260869565217,6.4639468357693195,0.0,15,2017
 Max Verstappen,MEX,15.0,21.0,28.0,0.0,31.0,1.3478260869565217,6.4639468357693195,,28,2017
 Max Verstappen,BRA,28.0,15.0,21.0,28.0,31.0,1.3478260869565217,6.4639468357693195,,13,2017
 Max Verstappen,ABU,13.0,28.0,15.0,21.0,31.0,1.3478260869565217,6.4639468357693195,0.0,13,2017
 Sergio Pérez,AUS,,,,,10.0,0.43478260869565216,2.085144140570747,0.0,9,2017
